,date,open,high,low,close,volume,change,vwap,changeOverTime
736,2017-01-24,60.5092,61.0215,60.2603,60.8156,24672940,0.536157,60.6384,0.7999704028176519
737,2017-01-25,61.2273,61.3709,60.7486,60.9688,24654933,0.15319000000000002,60.9856,0.8045046911534023
738,2017-01-26,61.3901,61.7874,60.8443,61.5337,43554645,0.564879,61.3968,0.8212241394619234
739,2017-01-27,62.606,63.1039,62.1273,62.9794,44817972,1.4457,62.771,0.8640127859827744
740,2017-01-30,62.8932,62.989,62.0411,62.3571,31651445,-0.622328,62.3393,0.8455944594074646
741,2017-01-31,62.0986,62.3762,61.5241,61.8975,25270549,-0.459563,61.7971,0.8319915944002132
742,2017-02-01,61.6151,61.8688,60.7677,60.8731,39671528,-1.0244,61.068000000000005,0.8016722408026756
743,2017-02-02,60.5571,60.7103,60.0784,60.4805,45827013,-0.392542,60.4031,0.7900523870127564
744,2017-02-03,60.7965,60.988,60.3848,60.9688,30301759,0.48828699999999997,60.7128,0.8045046911534023
745,2017-02-06,60.7965,60.9401,60.4518,60.9305,19796360,-0.038299,60.762,0.8033711190694647
746,2017-02-07,61.0263,61.0645,60.538000000000004,60.7294,20277226,-0.201059,60.7253,0.7974191256992335
747,2017-02-08,60.8635,61.0933,60.5284,60.6433,18096358,-0.086167,60.7579,0.7948708082990501
748,2017-02-09,60.8156,61.6917,60.6241,61.3326,22644443,0.689343,61.2595,0.8152721460916921
749,2017-02-10,61.5145,61.5624,61.2512,61.2752,18170729,-0.057442999999999994,61.3864,0.813573267824903
750,2017-02-13,61.505,62.0986,61.3996,61.9645,22920101,0.689344,61.8319,0.8339746056175453
751,2017-02-14,62.0416,62.3402,61.6659,62.1957,23108426,0.231179,61.9945,0.8408174741764585
752,2017-02-15,62.1283,62.1957,61.79600000000001,62.1572,17005157,-0.038529,62.0481,0.8396779826560513
753,2017-02-16,62.3595,62.8411,62.0705,62.1475,20546345,-0.009631,62.3613,0.8393908899872733
754,2017-02-17,62.0994,62.3113,61.9356,62.2439,21248818,0.096322,62.1398,0.8422440583656435
755,2017-02-21,62.2342,62.5617,62.0801,62.1186,20655869,-0.125221,62.214,0.8385355314174091
756,2017-02-22,61.9645,62.0223,61.6948,61.9934,19292651,-0.125219,61.8763,0.8348299641874094
757,2017-02-23,62.0512,62.3484,61.8345,62.2439,20273128,0.25044,62.1088,0.8422440583656435
758,2017-02-24,62.1572,62.4172,61.7767,62.2439,21796800,0.0,62.1032,0.8422440583656435
759,2017-02-27,62.1668,62.1668,61.69,61.8682,15871507,-0.375661,61.8172,0.8311243969574098
760,2017-02-28,61.7237,61.8393,61.4155,61.6274,23239825,-0.240806,61.5878,0.8239973954479535
761,2017-03-01,61.7719,62.6003,61.6677,62.5521,26937459,0.9247,62.3602,0.8513659099653714
762,2017-03-02,62.3113,62.3691,61.5311,61.6563,24539597,-0.895803,61.7188,0.8248527540178177
763,2017-03-03,61.637,61.9164,61.2806,61.8875,18139405,0.231174,61.6983,0.8316956225767308
764,2017-03-06,61.6178,62.1861,61.4637,61.9067,18750255,0.019265,61.9486,0.8322638884778171
765,2017-03-07,61.8297,62.3932,61.8297,62.032,18520987,0.12522,62.0412,0.8359724154260514
766,2017-03-08,61.8971,62.6918,61.8875,62.6003,21510907,0.5683060000000001,62.4746,0.8527924941545565
767,2017-03-09,62.7929,62.8025,62.108999999999995,62.3498,19846832,-0.25043899999999997,62.4134,0.8453783999763224
768,2017-03-10,62.7159,62.8603,62.3691,62.5425,19538245,0.192645,62.5805,0.8510817770148281
769,2017-03-13,62.6195,62.7977,62.1957,62.3306,20100035,-0.21191,62.388000000000005,0.844810134075236
770,2017-03-14,62.1572,62.1764,61.7912,62.0416,14280202,-0.28897,62.0091,0.8362565483765947
771,2017-03-15,62.1764,62.5328,61.8875,62.3691,24833810,0.327498,62.2683,0.8459496255956435
772,2017-03-16,62.3691,62.3787,61.9356,62.2631,20674296,-0.105955,62.1647,0.8428123242667299
773,2017-03-17,62.5232,62.8411,62.3017,62.4847,49219686,0.221543,62.5434,0.8493710598750999
774,2017-03-20,62.5232,62.7785,62.3402,62.5425,14598083,0.057794000000000005,62.5418,0.8510817770148281
775,2017-03-21,62.7929,63.0915,61.7719,61.8489,26640480,-0.693526,62.2859,0.8305531713380887
776,2017-03-22,61.7623,62.7447,61.7623,62.6388,20680015,0.789848,62.4518,0.8539319856749639
777,2017-03-23,62.5521,62.8363,62.3835,62.4847,19269203,-0.154116,62.5694,0.8493710598750999
778,2017-03-24,62.9567,63.0433,62.3787,62.5906,22617105,0.105956,62.7064,0.8525054014857787
779,2017-03-27,62.2535,62.8218,61.9838,62.7062,18614662,0.115587,62.4909,0.8559268357652353
780,2017-03-28,62.5714,63.0626,62.2728,62.8892,20080358,0.183013,62.7251,0.8613431201349633
781,2017-03-29,62.7255,63.0915,62.5593,63.0626,13618424,0.17338199999999998,62.8618,0.8664752715541482
782,2017-03-30,63.0145,63.5539,62.9567,63.2938,15122823,0.23117600000000002,63.328,0.8733181401130612
783,2017-03-31,63.236000000000004,63.7561,63.0433,63.4383,21040331,0.144483,63.493,0.8775949329623821
784,2017-04-03,63.3901,63.5153,62.7929,63.1397,20400871,-0.2986,63.1151,0.8687572143131974
785,2017-04-04,62.9856,63.3901,62.8796,63.3131,12997449,0.17338,63.2218,0.8738893657323823
786,2017-04-05,63.8621,63.9103,63.0379,63.1493,21448594,-0.163748,63.5628,0.8690413472637405
787,2017-04-06,63.1878,63.6261,63.0722,63.3131,18103453,0.163748,63.3228,0.8738893657323823
788,2017-04-07,63.4286,63.5346,63.0337,63.2649,14089274,-0.04816,63.3476,0.872462781543197
789,2017-04-10,63.1975,63.3997,62.9567,63.1204,17952742,-0.144486,63.2011,0.8681859886938763
790,2017-04-11,63.1878,63.1975,62.4654,63.0722,18791533,-0.048162,62.8807,0.8667594045046912
791,2017-04-12,63.0145,63.1011,62.7159,62.8314,17108513,-0.24080700000000002,62.8619,0.859632402995235
792,2017-04-13,62.8892,63.4383,62.5617,62.5617,17896483,-0.269704,62.9224,0.8516500429159145
793,2017-04-17,62.6484,63.0819,62.6195,63.0722,16689265,0.5105109999999999,62.9786,0.8667594045046912
794,2017-04-18,62.9278,63.2938,62.763999999999996,62.9856,15155611,-0.08669,63.0,0.8641962885133335
795,2017-04-19,63.236000000000004,63.3323,62.5039,62.6484,26992771,-0.33713000000000004,62.8534,0.8542161186255071
796,2017-04-20,63.053000000000004,63.3323,62.7447,63.0915,22299477,0.443087,63.0477,0.8673306301240123
797,2017-04-21,63.2553,64.2474,63.0433,63.9584,32522645,0.8669049999999999,63.808,0.8929884275017018
798,2017-04-24,64.9987,65.1721,64.6327,65.0469,29769976,1.0884,64.9055,0.9252049604877616
799,2017-04-25,65.4033,65.5381,65.1143,65.4225,30242730,0.37566,65.3862,0.9363216621777608
800,2017-04-26,65.5766,65.7982,65.1336,65.3358,26190770,-0.08669199999999999,65.4034,0.9337555864681684
801,2017-04-27,65.6441,65.8656,65.095,65.7597,34970953,0.423821,65.4521,0.9463018320655872
802,2017-04-28,66.3761,66.5977,65.20100000000001,65.9427,39548818,0.183014,65.8409,0.9517181164353156
803,2017-05-01,66.1546,66.9926,65.9812,66.8577,31954362,0.915068,66.6054,0.9787995382839552
804,2017-05-02,67.1467,67.1467,66.58800000000001,66.7518,23906119,-0.105957,66.8632,0.9756651966732768
805,2017-05-03,66.8288,66.8288,66.1835,66.5399,28927973,-0.21191,66.392,0.9693935537336849
806,2017-05-04,66.4917,66.5399,66.116,66.2798,21749409,-0.260071,66.2862,0.9616953266049072
807,2017-05-05,66.3665,66.4917,65.9667,66.4628,19128782,0.18301199999999998,66.2685,0.9671116109746352
808,2017-05-08,66.4339,66.51100000000001,65.9041,66.405,18566087,-0.057793,66.2193,0.965400893834907
809,2017-05-09,66.328,66.7325,66.1546,66.5013,22858414,0.096322,66.4701,0.9682511024950424
810,2017-05-10,66.4532,67.0022,66.3858,66.7614,17977830,0.26007199999999997,66.6684,0.9759493296238198
811,2017-05-11,65.8463,66.2027,65.6152,65.9427,28789413,-0.818743,65.8313,0.9517181164353156
812,2017-05-12,66.0872,66.0872,65.5381,65.8656,18714123,-0.07706,65.7877,0.949436173676266
813,2017-05-15,65.6344,65.9619,65.0854,65.9138,31530301,0.048162,65.5756,0.9508627578654512
814,2017-05-16,66.0978,67.27,66.03,67.2409,34956038,1.3272,66.8255,0.9901411785598012
815,2017-05-17,66.7372,66.9406,65.3228,65.3713,30548781,-1.8697,65.9476,0.9348062864415309
816,2017-05-18,65.2938,66.0009,65.0419,65.5941,25201274,0.222811,65.6162,0.9414005386687188
817,2017-05-19,65.3906,65.967,65.3228,65.5747,26961119,-0.019375,65.6325,0.9408263533311632
818,2017-05-22,65.7684,66.3594,65.3906,66.3109,16237550,0.73625,66.0822,0.9626157989759376
819,2017-05-23,66.5725,66.6016,66.2431,66.5338,15425824,0.222813,66.4308,0.9692130109213604
820,2017-05-24,66.7178,66.7275,66.3109,66.6209,14666865,0.087187,66.5131,0.9717909255038922
821,2017-05-25,66.8147,67.6963,66.7566,67.4444,21854095,0.8234370000000001,67.3025,0.996164205167668
822,2017-05-26,67.6188,68.0256,67.3475,67.7738,19827923,0.329377,67.7708,1.0059135170331783
823,2017-05-30,67.6091,68.2097,67.5897,68.2097,17072838,0.435936,67.9717,1.0188149288187764
824,2017-05-31,68.3259,68.5294,67.6284,67.6575,30436364,-0.552187,67.8419,1.002471364726078
825,2017-06-01,68.045,68.4034,67.2807,67.9094,21603601,0.251875,67.7069,1.0099268949595999
826,2017-06-02,68.2388,69.6144,68.045,69.5175,34770261,1.6081,69.1133,1.0575221238938053
827,2017-06-05,69.7209,70.6122,69.5659,70.0213,33316760,0.50375,70.1648,1.0724331843608488
828,2017-06-06,70.0406,70.3506,70.0116,70.2538,31511065,0.2325,70.1931,1.0793145292568147
829,2017-06-07,70.3652,70.4959,69.7016,70.1278,22301765,-0.12593800000000002,70.053,1.0755852842809364
830,2017-06-08,70.2441,70.2538,69.2656,69.7016,24588270,-0.42625100000000005,69.6874,1.0629709651641164
831,2017-06-09,69.7839,69.8275,66.4466,68.1225,49187396,-1.5791,68.0691,1.01623405451801
832,2017-06-12,67.0859,67.7544,66.0009,67.5994,47761743,-0.523125,67.0283,1.0007517684316454
833,2017-06-13,67.8319,68.6069,67.7738,68.4422,25258614,0.8428120000000001,68.3165,1.0256962737147424
834,2017-06-14,68.6941,68.8781,67.2603,68.0741,25510685,-0.36812399999999995,68.2393,1.0148015508923551
835,2017-06-15,67.1053,68.0159,66.65,67.7156,26068709,-0.35843800000000003,67.4807,1.0041909610205109
836,2017-06-16,67.5509,67.8369,67.0569,67.8125,48345085,0.096875,67.643,1.0070589279900557
837,2017-06-19,68.2969,68.72800000000001,68.1516,68.6553,23798268,0.842814,68.4734,1.0320034332731525
838,2017-06-20,68.6069,68.6553,67.6866,67.7253,21512231,-0.930002,67.9796,1.004478053689289
839,2017-06-21,68.0159,68.4131,67.7544,68.0741,19891051,0.34875100000000003,68.1268,1.0148015508923551
840,2017-06-22,68.3356,68.3841,67.5316,68.0644,22965738,-0.009687000000000001,67.9025,1.0145144582235774
